userId,username,first_name,last_name,email,password_hash,rol,fecha_creacion
1,user1,David,Downs,user1@example.com,e59b8079930668e1bbe4553ac712f769e76bb6860b06d7e312cf1e6702a94aa8,user,2023-10-09 07:53
2,user2,Robert,Davis,user2@example.com,5660fa8aedf91797711de248fc58178510786fcc575ddbc230031121691f83c0,user,2024-12-29 04:23
3,user3,Mary,Wells,user3@example.com,fd2a76860e1bfcd8961d44d967fb64a6f64ddf5df5280c9066d8bfb8229cdeed,user,2025-06-07 05:07
4,user4,Bethany,Harmon,user4@example.com,c50f4f5e2e53fa8d6ae274ce247de4b0a0f4d3ac1e91c492c9411f5bfd541760,user,2020-01-10 21:07
5,user5,Brenda,Meyers,user5@example.com,e33ee6d8d67511d4956a4e9c88a24ad540a8016c60b429031c1dd757fdc628bf,user,2022-05-24 18:32
6,user6,Yvonne,Jensen,user6@example.com,2d1f3fcbd5eb265f7eccec249d0c7615d8a946a6324ed6315be7e1adb51f7277,admin,2022-02-17 08:01
7,user7,Joe,Ferguson,user7@example.com,3d117ec76eb29f0252d8b527302b4ec158d9b1b269158188b0a74897eb1e9194,user,2023-04-13 06:34
8,user8,April,Gonzalez,user8@example.com,82cfc8b5cb361964fc5147ac2fdf1633fbf2ca4d7723779325b739187a7d5072,admin,2023-05-18 07:33
9,user9,Colton,Collins,user9@example.com,efd9567c2728e401d76e7ce51fcc9779a70553671bbec95162062d10150252fc,user,2023-02-13 22:28
10,user10,Joseph,Yang,user10@example.com,c50bab410f178ab5e861c5964dab1732d469ca58ccaaaea017d4a6eaefff98d5,admin,2023-02-27 08:50
