nombre,score,full_name
April,10000.0,April Gonzalez
Colton,10000.0,Colton Collins
Joseph,10000.0,Joseph Yang
Michelle,10000.0,Michelle Logan
Mary,10000.0,Mary Pollard
Gail,10000.0,Gail Harris
Lauren,10000.0,Lauren Fletcher
Alan,10000.0,Alan Liu
Douglas,10000.0,Douglas Williams
Daniel,10000.0,Daniel Smith
Christopher,10000.0,Christopher Jensen
Haley,10000.0,Haley Rodriguez
Alexis,10000.0,Alexis Cox
Deborah,10000.0,Deborah Davis
Brenda,10000.0,Brenda Reynolds
Paul,10000.0,Paul Nash
Steven,10000.0,Steven Parsons
Adrian,10000.0,Adrian Richards
Kristin,10000.0,Kristin Hall
Gerald,10000.0,Gerald Brown
Susan,10000.0,Susan Freeman
Gary,10000.0,Gary Thornton
Joyce,10000.0,Joyce Bailey
Allison,10000.0,Allison Hill
Jamie,10000.0,Jamie Miller
Kimberly,10000.0,Kimberly Johnson
Elizabeth,10000.0,Elizabeth Smith
Shelly,10000.0,Shelly Estes
Jacob,10000.0,Jacob Williams
Roberto,10000.0,Roberto Chang
Karen,10000.0,Karen Smith
Anthony,10000.0,Anthony Hernandez
Breanna,10000.0,Breanna Watts
Nicholas,10000.0,Nicholas Marshall
Christopher,10000.0,Christopher Bowen
Nicole,10000.0,Nicole Thompson
Anna,10000.0,Anna Russell
Donna,10000.0,Donna King
Denise,10000.0,Denise Byrd
Michael,10000.0,Michael Robinson
Daniel,10000.0,Daniel Harrison
Jason,10000.0,Jason Sellers
Stephanie,10000.0,Stephanie Torres
Kristin,10000.0,Kristin Randall
Bradley,10000.0,Bradley Nguyen
Lance,10000.0,Lance Rice
Paul,10000.0,Paul Perkins
