nombre,apellido,email,match_query,match_result,score,match_result_values,destTable,sourceTable,full_name
April,Gonzalez,user8@example.com,AprilGonzalezuser8@example.com,AprilGonzalezuser8@example.com,10000.0,"{'first_name': 'April', 'last_name': 'Gonzalez', 'email': 'user8@example.com'}",Usuarios,Clientes,April Gonzalez
Colton,Collins,user9@example.com,ColtonCollinsuser9@example.com,ColtonCollinsuser9@example.com,10000.0,"{'first_name': 'Colton', 'last_name': 'Collins', 'email': 'user9@example.com'}",Usuarios,Clientes,Colton Collins
Joseph,Yang,user10@example.com,JosephYanguser10@example.com,JosephYanguser10@example.com,10000.0,"{'first_name': 'Joseph', 'last_name': 'Yang', 'email': 'user10@example.com'}",Usuarios,Clientes,Joseph Yang
Michelle,Logan,user11@example.com,MichelleLoganuser11@example.com,MichelleLoganuser11@example.com,10000.0,"{'first_name': 'Michelle', 'last_name': 'Logan', 'email': 'user11@example.com'}",Usuarios,Clientes,Michelle Logan
Mary,Pollard,user12@example.com,MaryPollarduser12@example.com,MaryPollarduser12@example.com,10000.0,"{'first_name': 'Mary', 'last_name': 'Pollard', 'email': 'user12@example.com'}",Usuarios,Clientes,Mary Pollard
Gail,Harris,user13@example.com,GailHarrisuser13@example.com,GailHarrisuser13@example.com,10000.0,"{'first_name': 'Gail', 'last_name': 'Harris', 'email': 'user13@example.com'}",Usuarios,Clientes,Gail Harris
Lauren,Fletcher,user14@example.com,LaurenFletcheruser14@example.com,LaurenFletcheruser14@example.com,10000.0,"{'first_name': 'Lauren', 'last_name': 'Fletcher', 'email': 'user14@example.com'}",Usuarios,Clientes,Lauren Fletcher
Alan,Liu,user15@example.com,AlanLiuuser15@example.com,AlanLiuuser15@example.com,10000.0,"{'first_name': 'Alan', 'last_name': 'Liu', 'email': 'user15@example.com'}",Usuarios,Clientes,Alan Liu
Douglas,Williams,user16@example.com,DouglasWilliamsuser16@example.com,DouglasWilliamsuser16@example.com,10000.0,"{'first_name': 'Douglas', 'last_name': 'Williams', 'email': 'user16@example.com'}",Usuarios,Clientes,Douglas Williams
Daniel,Smith,user17@example.com,DanielSmithuser17@example.com,DanielSmithuser17@example.com,10000.0,"{'first_name': 'Daniel', 'last_name': 'Smith', 'email': 'user17@example.com'}",Usuarios,Clientes,Daniel Smith
Christopher,Jensen,user18@example.com,ChristopherJensenuser18@example.com,ChristopherJensenuser18@example.com,10000.0,"{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",Usuarios,Clientes,Christopher Jensen
Haley,Rodriguez,user19@example.com,HaleyRodriguezuser19@example.com,HaleyRodriguezuser19@example.com,10000.0,"{'first_name': 'Haley', 'last_name': 'Rodriguez', 'email': 'user19@example.com'}",Usuarios,Clientes,Haley Rodriguez
Alexis,Cox,user20@example.com,AlexisCoxuser20@example.com,AlexisCoxuser20@example.com,10000.0,"{'first_name': 'Alexis', 'last_name': 'Cox', 'email': 'user20@example.com'}",Usuarios,Clientes,Alexis Cox
Deborah,Davis,user21@example.com,DeborahDavisuser21@example.com,DeborahDavisuser21@example.com,10000.0,"{'first_name': 'Deborah', 'last_name': 'Davis', 'email': 'user21@example.com'}",Usuarios,Clientes,Deborah Davis
Brenda,Reynolds,user22@example.com,BrendaReynoldsuser22@example.com,BrendaReynoldsuser22@example.com,10000.0,"{'first_name': 'Brenda', 'last_name': 'Reynolds', 'email': 'user22@example.com'}",Usuarios,Clientes,Brenda Reynolds
Paul,Nash,user23@example.com,PaulNashuser23@example.com,PaulNashuser23@example.com,10000.0,"{'first_name': 'Paul', 'last_name': 'Nash', 'email': 'user23@example.com'}",Usuarios,Clientes,Paul Nash
Steven,Parsons,user24@example.com,StevenParsonsuser24@example.com,StevenParsonsuser24@example.com,10000.0,"{'first_name': 'Steven', 'last_name': 'Parsons', 'email': 'user24@example.com'}",Usuarios,Clientes,Steven Parsons
Adrian,Richards,user25@example.com,AdrianRichardsuser25@example.com,AdrianRichardsuser25@example.com,10000.0,"{'first_name': 'Adrian', 'last_name': 'Richards', 'email': 'user25@example.com'}",Usuarios,Clientes,Adrian Richards
Kristin,Hall,user26@example.com,KristinHalluser26@example.com,KristinHalluser26@example.com,10000.0,"{'first_name': 'Kristin', 'last_name': 'Hall', 'email': 'user26@example.com'}",Usuarios,Clientes,Kristin Hall
Gerald,Brown,user27@example.com,GeraldBrownuser27@example.com,GeraldBrownuser27@example.com,10000.0,"{'first_name': 'Gerald', 'last_name': 'Brown', 'email': 'user27@example.com'}",Usuarios,Clientes,Gerald Brown
Susan,Freeman,user28@example.com,SusanFreemanuser28@example.com,SusanFreemanuser28@example.com,10000.0,"{'first_name': 'Susan', 'last_name': 'Freeman', 'email': 'user28@example.com'}",Usuarios,Clientes,Susan Freeman
Gary,Thornton,user29@example.com,GaryThorntonuser29@example.com,GaryThorntonuser29@example.com,10000.0,"{'first_name': 'Gary', 'last_name': 'Thornton', 'email': 'user29@example.com'}",Usuarios,Clientes,Gary Thornton
Joyce,Bailey,user30@example.com,JoyceBaileyuser30@example.com,JoyceBaileyuser30@example.com,10000.0,"{'first_name': 'Joyce', 'last_name': 'Bailey', 'email': 'user30@example.com'}",Usuarios,Clientes,Joyce Bailey
Allison,Hill,user31@example.com,AllisonHilluser31@example.com,AllisonHilluser31@example.com,10000.0,"{'first_name': 'Allison', 'last_name': 'Hill', 'email': 'user31@example.com'}",Usuarios,Clientes,Allison Hill
Jamie,Miller,user32@example.com,JamieMilleruser32@example.com,JamieMilleruser32@example.com,10000.0,"{'first_name': 'Jamie', 'last_name': 'Miller', 'email': 'user32@example.com'}",Usuarios,Clientes,Jamie Miller
Kimberly,Johnson,user33@example.com,KimberlyJohnsonuser33@example.com,KimberlyJohnsonuser33@example.com,10000.0,"{'first_name': 'Kimberly', 'last_name': 'Johnson', 'email': 'user33@example.com'}",Usuarios,Clientes,Kimberly Johnson
Elizabeth,Smith,user34@example.com,ElizabethSmithuser34@example.com,ElizabethSmithuser34@example.com,10000.0,"{'first_name': 'Elizabeth', 'last_name': 'Smith', 'email': 'user34@example.com'}",Usuarios,Clientes,Elizabeth Smith
Shelly,Estes,user35@example.com,ShellyEstesuser35@example.com,ShellyEstesuser35@example.com,10000.0,"{'first_name': 'Shelly', 'last_name': 'Estes', 'email': 'user35@example.com'}",Usuarios,Clientes,Shelly Estes
Jacob,Williams,user36@example.com,JacobWilliamsuser36@example.com,JacobWilliamsuser36@example.com,10000.0,"{'first_name': 'Jacob', 'last_name': 'Williams', 'email': 'user36@example.com'}",Usuarios,Clientes,Jacob Williams
Roberto,Chang,user37@example.com,RobertoChanguser37@example.com,RobertoChanguser37@example.com,10000.0,"{'first_name': 'Roberto', 'last_name': 'Chang', 'email': 'user37@example.com'}",Usuarios,Clientes,Roberto Chang
Karen,Smith,user38@example.com,KarenSmithuser38@example.com,KarenSmithuser38@example.com,10000.0,"{'first_name': 'Karen', 'last_name': 'Smith', 'email': 'user38@example.com'}",Usuarios,Clientes,Karen Smith
Anthony,Hernandez,user39@example.com,AnthonyHernandezuser39@example.com,AnthonyHernandezuser39@example.com,10000.0,"{'first_name': 'Anthony', 'last_name': 'Hernandez', 'email': 'user39@example.com'}",Usuarios,Clientes,Anthony Hernandez
Breanna,Watts,user40@example.com,BreannaWattsuser40@example.com,BreannaWattsuser40@example.com,10000.0,"{'first_name': 'Breanna', 'last_name': 'Watts', 'email': 'user40@example.com'}",Usuarios,Clientes,Breanna Watts
Nicholas,Marshall,user41@example.com,NicholasMarshalluser41@example.com,NicholasMarshalluser41@example.com,10000.0,"{'first_name': 'Nicholas', 'last_name': 'Marshall', 'email': 'user41@example.com'}",Usuarios,Clientes,Nicholas Marshall
Christopher,Bowen,user42@example.com,ChristopherBowenuser42@example.com,ChristopherBowenuser42@example.com,10000.0,"{'first_name': 'Christopher', 'last_name': 'Bowen', 'email': 'user42@example.com'}",Usuarios,Clientes,Christopher Bowen
Nicole,Thompson,user43@example.com,NicoleThompsonuser43@example.com,NicoleThompsonuser43@example.com,10000.0,"{'first_name': 'Nicole', 'last_name': 'Thompson', 'email': 'user43@example.com'}",Usuarios,Clientes,Nicole Thompson
Anna,Russell,user44@example.com,AnnaRusselluser44@example.com,AnnaRusselluser44@example.com,10000.0,"{'first_name': 'Anna', 'last_name': 'Russell', 'email': 'user44@example.com'}",Usuarios,Clientes,Anna Russell
Donna,King,user45@example.com,DonnaKinguser45@example.com,DonnaKinguser45@example.com,10000.0,"{'first_name': 'Donna', 'last_name': 'King', 'email': 'user45@example.com'}",Usuarios,Clientes,Donna King
Denise,Byrd,user46@example.com,DeniseByrduser46@example.com,DeniseByrduser46@example.com,10000.0,"{'first_name': 'Denise', 'last_name': 'Byrd', 'email': 'user46@example.com'}",Usuarios,Clientes,Denise Byrd
Michael,Robinson,user47@example.com,MichaelRobinsonuser47@example.com,MichaelRobinsonuser47@example.com,10000.0,"{'first_name': 'Michael', 'last_name': 'Robinson', 'email': 'user47@example.com'}",Usuarios,Clientes,Michael Robinson
Daniel,Harrison,user48@example.com,DanielHarrisonuser48@example.com,DanielHarrisonuser48@example.com,10000.0,"{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",Usuarios,Clientes,Daniel Harrison
Jason,Sellers,user49@example.com,JasonSellersuser49@example.com,JasonSellersuser49@example.com,10000.0,"{'first_name': 'Jason', 'last_name': 'Sellers', 'email': 'user49@example.com'}",Usuarios,Clientes,Jason Sellers
Stephanie,Torres,user50@example.com,StephanieTorresuser50@example.com,StephanieTorresuser50@example.com,10000.0,"{'first_name': 'Stephanie', 'last_name': 'Torres', 'email': 'user50@example.com'}",Usuarios,Clientes,Stephanie Torres
Kristin,Randall,user51@example.com,KristinRandalluser51@example.com,KristinRandalluser51@example.com,10000.0,"{'first_name': 'Kristin', 'last_name': 'Randall', 'email': 'user51@example.com'}",Usuarios,Clientes,Kristin Randall
Bradley,Nguyen,user52@example.com,BradleyNguyenuser52@example.com,BradleyNguyenuser52@example.com,10000.0,"{'first_name': 'Bradley', 'last_name': 'Nguyen', 'email': 'user52@example.com'}",Usuarios,Clientes,Bradley Nguyen
Lance,Rice,user53@example.com,LanceRiceuser53@example.com,LanceRiceuser53@example.com,10000.0,"{'first_name': 'Lance', 'last_name': 'Rice', 'email': 'user53@example.com'}",Usuarios,Clientes,Lance Rice
Paul,Perkins,user54@example.com,PaulPerkinsuser54@example.com,PaulPerkinsuser54@example.com,10000.0,"{'first_name': 'Paul', 'last_name': 'Perkins', 'email': 'user54@example.com'}",Usuarios,Clientes,Paul Perkins
